[2026/06/28 10:00:21.162] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Recording or copying has just completed or has already completed.
[2026/06/28 10:00:21.376] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: FFprobe analysis completed.
[2026/06/28 10:00:21.385] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Detected preferred service_id 298 from FFprobe (nb_streams: 6, pcr_pid: 2575).
[2026/06/28 10:00:21.386] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Using preferred service_id 298 from external analysis.
[2026/06/28 10:00:21.405] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: MPEG-TS SDT/EIT analysis completed.
[2026/06/28 10:00:21.433] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Saved metadata to DB. (status: Recorded)
[2026/06/28 10:00:21.434] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Starting background analysis task...
[2026/06/28 10:00:21.434] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Long video (60 min), using dynamic interval of 10.0 sec. Expected 360.7 tiles (x1.00 of base).
[2026/06/28 10:00:21.434] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Tile layout -> interval: 10.0 sec, cols: 51, rows: 8, total: 361, image: 16320x1440
[2026/06/28 10:00:21.434] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Detecting CM sections...
[2026/06/28 10:00:21.435] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Generating thumbnail... / Face detection mode: Human
[2026/06/28 10:00:21.444] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: No CM sections detected. (0.01 sec)
[2026/06/28 10:00:21.577] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 50/361 frames
[2026/06/28 10:00:21.601] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 10:00:21.693] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 100/361 frames
[2026/06/28 10:00:21.806] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 150/361 frames
[2026/06/28 10:00:21.921] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 200/361 frames
[2026/06/28 10:00:22.033] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 250/361 frames
[2026/06/28 10:00:22.151] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 300/361 frames
[2026/06/28 10:00:22.278] DEBUG:    /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: Extracted 350/361 frames
[2026/06/28 10:00:22.305] INFO:     /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: All 361 frames extraction completed. (0.86 sec)
[2026/06/28 10:00:22.512] DEBUG:    Face detected. Face area ratio: 0.04 (row:2, col:34)
[2026/06/28 10:00:22.525] DEBUG:    Score: (row:2, col:34):
